,year,conf_level,Intersection
410,2020,high,No intersection
411,2020,high,No intersection
412,2020,high,No intersection
413,2023,high,No intersection
414,2020,high,No intersection
415,2020,high,No intersection
416,2020,high,No intersection
417,2020,high,No intersection
418,2022,high,No intersection
419,2022,high,No intersection
420,2022,high,No intersection
421,2022,high,No intersection
422,2022,high,No intersection
423,2020,high,No intersection
424,2020,high,No intersection
425,2020,high,No intersection
426,2020,high,No intersection
427,2020,high,No intersection
428,2020,high,No intersection
429,2020,high,No intersection
430,2023,high,No intersection
431,2020,high,No intersection
432,2020,high,No intersection
433,2020,high,No intersection
434,2020,high,No intersection
435,2023,high,No intersection
436,2022,high,No intersection
437,2022,high,No intersection
438,2022,high,No intersection
439,2022,high,No intersection
440,2020,high,No intersection
441,2020,high,No intersection
442,2020,high,No intersection
443,2020,high,No intersection
444,2020,high,No intersection
445,2020,high,No intersection
446,2023,high,No intersection
447,2022,high,No intersection
448,2022,high,No intersection
449,2022,high,No intersection
450,2022,high,No intersection
451,2020,high,No intersection
452,2020,high,No intersection
453,2021,high,No intersection
454,2023,high,No intersection
455,2023,high,No intersection
456,2022,high,No intersection
457,2022,high,No intersection
458,2022,high,No intersection
459,2021,high,No intersection
460,2021,high,No intersection
461,2022,high,No intersection
462,2024,high,No intersection
463,2023,high,No intersection
464,2024,high,No intersection
465,2024,high,No intersection
466,2021,high,No intersection
467,2021,high,No intersection
468,2022,high,No intersection
469,2023,high,No intersection
470,2021,high,No intersection
471,2021,high,No intersection
472,2023,high,No intersection
473,2021,high,No intersection
474,2020,high,No intersection
475,2020,high,No intersection
476,2020,high,No intersection
477,2020,high,No intersection
478,2020,high,No intersection
479,2021,high,No intersection
480,2020,high,No intersection
481,2020,high,No intersection
482,2020,high,No intersection
483,2021,high,No intersection
484,2021,high,No intersection
485,2020,high,No intersection
486,2020,high,No intersection
487,2020,high,No intersection
488,2023,high,No intersection
489,2020,high,No intersection
490,2020,high,No intersection
491,2020,high,No intersection
492,2020,high,No intersection
493,2020,high,No intersection
494,2020,high,No intersection
495,2020,high,No intersection
496,2020,high,No intersection
497,2020,high,No intersection
498,2020,high,No intersection
499,2020,high,No intersection
500,2020,high,No intersection
501,2020,high,No intersection
502,2020,high,No intersection
503,2020,high,No intersection
504,2020,high,No intersection
505,2020,high,No intersection
506,2020,high,No intersection
507,2020,high,No intersection
508,2020,high,No intersection
509,2020,high,No intersection
510,2020,high,No intersection
511,2023,high,No intersection
512,2021,high,No intersection
513,2020,high,No intersection
514,2020,high,No intersection
515,2020,high,No intersection
516,2020,high,No intersection
517,2020,high,No intersection
518,2020,high,No intersection
519,2020,high,No intersection
520,2020,high,No intersection
521,2020,high,No intersection
522,2020,high,No intersection
523,2020,high,No intersection
524,2020,high,No intersection
525,2020,high,No intersection
526,2020,high,No intersection
527,2020,high,No intersection
528,2021,high,No intersection
529,2020,high,No intersection
530,2020,high,No intersection
531,2020,high,No intersection
532,2020,high,No intersection
533,2020,high,No intersection
534,2020,high,No intersection
535,2020,high,No intersection
536,2020,high,No intersection
537,2020,high,No intersection
538,2020,high,No intersection
539,2021,high,No intersection
540,2020,high,No intersection
541,2020,high,No intersection
542,2020,high,No intersection
543,2020,high,No intersection
544,2020,high,No intersection
